"filename", "language", "JavaScript", "JSON", "Properties", "HTML", "PostCSS", "JavaScript JSX", "Markdown", "XML", "comment", "blank", "total"
"d:\datn\DO-AN\frontend\src\Components\Search.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 9, 54
"d:\datn\DO-AN\frontend\src\Components\Thanhtoan.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 164, 0, 0, 0, 20, 184
"d:\datn\DO-AN\frontend\src\Components\Trangcapnhat.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"d:\datn\DO-AN\frontend\src\Components\VerifyEmail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"d:\datn\DO-AN\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 61, 0, 0, 0, 0, 8, 69
"d:\datn\DO-AN\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"d:\datn\DO-AN\frontend\src\redux\action\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"d:\datn\DO-AN\frontend\src\redux\reducer\handleCart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 4, 7, 40
"d:\datn\DO-AN\frontend\src\redux\reducer\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"d:\datn\DO-AN\frontend\src\redux\store.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"d:\datn\DO-AN\frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 676, 6339, 5, 23, 774, 2187, 5, 1, 128, 621, 10759
